"cod_coordenacao_regional","coordenacao_regional","cod_escola","escola","tipo_escola","endereco_cep","endereco_uf","endereco_localidade","endereco_regiao_administrativa","endereco_bairro","endereco_logradouro","endereco_complemento"
5,CRE - Gama,477,ESCOLA CLASSE 12 DO GAMA,pública,"72430115",DF,Brasília,Gama                          ,Setor Norte (Gama),Quadra 1 Área Especial s/n ,Setor Norte
11,CRE - Taguatinga,310,CENTRO DE EDUCAÇÃO INFANTIL 06 DE TAGUATINGA,pública,"72151525",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),EQNL 17/19 Área Especial s/n ,A/Especial
4,CRE - Ceilândia,39,Centro Educacional 16 de Ceilândia,pública,"72270300",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNQ 3 ,AE
12,CRE - Samambaia,578,ESCOLA CLASSE 501 DE SAMAMBAIA,pública,"72311203",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QN 501 Conjunto 3 ,LOTE 01
11,CRE - Taguatinga,164,CENTRO DE EDUCAÇÃO INFANTIL 04 DE TAGUATINGA,pública,"72110015",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),CNA 1 ,CNA 01/02 Área Esp. s/n - Pç D.I.
3,CRE - Plano Piloto e Cruzeiro,255,ESCOLA CLASSE 102 SUL,pública,"70330000",DF,Brasília,Brasília                      ,Asa Sul,SQS 102 ,AE
5,CRE - Gama,484,ESCOLA CLASSE 19 DO GAMA,pública,"72460306",DF,Brasília,Gama                          ,Setor Leste (Gama),EQ 30/49 ,area especial 1
3,CRE - Plano Piloto e Cruzeiro,160,CENTRO DE ENSINO FUNDAMENTAL 306 NORTE,pública,"70745000",DF,Brasília,Brasília                      ,Asa Norte,SQN 306 ,ÁREA ESPECIAL
4,CRE - Ceilândia,178,Escola Classe 38 de Ceilândia,pública,"72241560",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),EQNP 15/19 ,Área Especial Setor P Norte
5,CRE - Gama,469,ESCOLA CLASSE 01 DO GAMA,pública,"72460185",DF,Brasília,Gama                          ,Setor Leste (Gama),EQ 18/19 ,AREA ESPECIAL
5,CRE - Gama,487,ESCOLA CLASSE 22 DO GAMA,pública,"72405475",DF,Brasília,Gama                          ,Setor Central (Gama),EQ 33/39 ,AREA ESPECIAL
10,CRE - Sobradinho,92,CENTRO DE ENSINO FUNDAMENTAL 04 DE SOBRADINHO,pública,"73045150",DF,Brasília,Sobradinho                    ,Sobradinho,Quadra 15 ,AE 02
10,CRE - Sobradinho,409,CENTRO DE EDUCAÇÃO INFANTIL 03 DE SOBRADINHO,pública,"73050160",DF,Brasília,Sobradinho                    ,Sobradinho,Quadra 16 ,AE D1
3,CRE - Plano Piloto e Cruzeiro,452,ESCOLA CLASSE JARDIM BOTÂNICO,pública,"71680001",DF,Brasília,Lago Sul                      ,Setor de Mansões Dom Bosco,Área Especial SMDB Estação Ecológica Jardim Botânico de Brasília ,JARDIM BOTANICO DE BRASILIA
11,CRE - Taguatinga,322,CENTRO DE ENSINO MÉDIO EIT,pública,"72115010",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),QNB 1 ,Setor Central
5,CRE - Gama,781,INSTITUTO DE SERVIÇO SOCIAL PAX,privada,"72405135",DF,Brasília,Gama                          ,Setor Central (Gama),Área Especial Lado Leste ,SETOR LESTE
12,CRE - Samambaia,116,CENTRO DE ENSINO FUNDAMENTAL 507 DE SAMAMBAIA,pública,"72313107",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QR 507 Conjunto 7 ,lt 01
10,CRE - Sobradinho,410,ESCOLA CLASSE 10 DE SOBRADINHO,pública,"73015308",DF,Brasília,Sobradinho                    ,Sobradinho,Quadra 2 Conjunto C-8 ,LOTE F
9,CRE - Planaltina,559,CENTRO EDUCACIONAL 01 DE PLANALTINA,pública,"73310150",DF,Brasília,Planaltina                    ,Setor de Educação (Planaltina),Setor Educacional ,Lotes A/B
4,CRE - Ceilândia,789,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA IPÊ AMARELO,pública,"72270500",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNQ 5 ,Lote A
11,CRE - Taguatinga,736,SOCIEDADE DO AMOR EM AÇÃO - ESCOLINHA BEIJA FLOR,privada,"72115150",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),QNB 15 ,area esp.04
3,CRE - Plano Piloto e Cruzeiro,253,ESCOLA CLASSE 415 NORTE,pública,"70878000",DF,Brasília,Brasília                      ,Asa Norte,SQN 415 ,AE
3,CRE - Plano Piloto e Cruzeiro,218,JARDIM DE INFÂNCIA 302 NORTE,pública,"70723000",DF,Brasília,Brasília                      ,Asa Norte,SQN 302 ,AE
3,CRE - Plano Piloto e Cruzeiro,227,JARDIM DE INFÂNCIA 305 SUL,pública,"70352000",DF,Brasília,Brasília                      ,Asa Sul,SQS 305 ,AE
16,CRE - Recanto das Emas,847,Escola Classe 203 do Recanto das Emas,pública,"72610321",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Avenida Recanto Quadra 203 ,LOTE 32
9,CRE - Planaltina,742,CRECHE MAGIA DOS SONHOS,privada,"73370100",DF,Brasília,Planaltina                    ,Arapoanga (Planaltina),Condomínio Arapoanga ,a
16,CRE - Recanto das Emas,141,CENTRO DE ENSINO FUNDAMENTAL 101 DO RECANTO DAS EMAS,pública,"72600113",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 101 Conjunto 10-B ,lotes 01/02
14,CRE - Santa Maria,134,CENTRO DE ENSINO FUNDAMENTAL SANTOS DUMONT,pública,"72593270",DF,Brasília,Santa Maria                   ,Residencial Santos Dumont (Santa Maria),SEE ,AV. SALGADO FILHO 
9,CRE - Planaltina,741,HOTELZINHO SÃO VICENTE DE PAULO,privada,"73330032",DF,Brasília,Planaltina                    ,Setor Tradicional (Planaltina),"Avenida Hugo Lobo (Quadras 68A,69A,73,74,79 e 80)",z
13,CRE - Paranoá,419,ESCOLA CLASSE CÓRREGO DE SOBRADINHO,pública,"73255900",DF,Brasília,Sobradinho                    ,Região dos Lagos (Sobradinho),"Condomínio Mansões Entre Lagos 1 - Rodovia DF-250 Km 2,7",FAZENDA PARANOA - DF
12,CRE - Samambaia,119,CENTRO DE ENSINO FUNDAMENTAL 504 DE SAMAMBAIA,pública,"72310701",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QR 504 Conjunto 1 ,Aréa Especial nº 01
6,CRE - Brazlândia,852,Centro de Educação da Primeira Infância Sagui,pública,"72725200",DF,Brasília,Brazlândia                    ,Veredas (Brazlândia),Quadra 2 ,"PIQ 02, LT 02 - BAIRRO VEREDAS"
12,CRE - Samambaia,210,CENTRO DE ENSINO FUNDAMENTAL 412 DE SAMAMBAIA,pública,"72320540",DF,Brasília,Samambaia                     ,Samambaia Norte (Samambaia),QN 412 ,Area Especial nº 01
5,CRE - Gama,848,Jardim de Infância 06 do Gama,pública,"72420177",DF,Brasília,Gama                          ,Setor Oeste (Gama),EQ 17/27 ,"Área Especial, Setor Oeste "
3,CRE - Plano Piloto e Cruzeiro,743,CRECHE CASA DO PEQUENO POLEGAR,privada,"71600790",DF,Brasília,Lago Sul                      ,Setor de Habitações Individuais Sul,SHIS QI 15 Chácaras 49 a 56 ,a
14,CRE - Santa Maria,846,Centro de Convivência e Educação Infantil Maria Mãe da Providência,privada,"72503206",DF,Brasília,Santa Maria                   ,Santa Maria,CL 103 Bloco F ,"103"
13,CRE - Paranoá,529,CENTRO DE ENSINO FUNDAMENTAL BURITI VERMELHO,pública,"73370994",DF,Brasília,,,Núcleo Rural do Jardim - Rodovia DF 285 km 23,NUCLEO RURAL BURITI VERMELHO
3,CRE - Plano Piloto e Cruzeiro,744,CENTRO SOCIAL COMUNITÁRIO TIA ANGELINA,privada,"71540400",DF,Brasília,Lago Norte                    ,Setor de Habitações Individuais Norte,Vila Varjão do Torto ,a
3,CRE - Plano Piloto e Cruzeiro,738,CRECHE PIONEIRA DA VILA PLANALTO,privada,"70804020",DF,Brasília,Brasília                      ,Vila Planalto,Avenida Rabelo (Acamp Rabelo),a
8,CRE - Núcleo Bandeirante,447,Escola Classe 03 do Núcleo Bandeirante,pública,"71720588",DF,Brasília,Núcleo Bandeirante            ,Núcleo Bandeirante,Terceira Avenida Área Especial 6 ,LOTE N/H
4,CRE - Ceilândia,36,CENTRO DE ENSINO FUNDAMENTAL 20 DE CEILÂNDIA,pública,"72210540",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),EQNM 8/10 ,AREA ESPECIAL
6,CRE - Brazlândia,502,Escola Classe 05 de  Brazlândia,pública,"72715610",DF,Brasília,Brazlândia                    ,Setor Sul (Brazlândia),Área Especial 1 ,.
