"cod_coordenacao_regional","coordenacao_regional","cod_escola","escola","tipo_escola","endereco_cep","endereco_uf","endereco_localidade","endereco_regiao_administrativa","endereco_bairro","endereco_logradouro","endereco_complemento"
3,CRE - Plano Piloto e Cruzeiro,865,CENTRO EDUCACIONAL 01 DE BRASÍLIA,pública,"70790070",DF,Brasília,Brasília                      ,Asa Norte,SGAN 907 ,SETOR DE GRANDES ÁREAS
5,CRE - Gama,497,CENTRO DE ENSINO FUNDAMENTAL 15 DO GAMA,pública,"72410318",DF,Brasília,Gama                          ,Setor Sul (Gama),EQ 5/11 Área Especial CEF 15 (Áreas Especiais),A E Setor Sul 
8,CRE - Núcleo Bandeirante,631,Escola Classe 02 do Riacho Fundo II,pública,"71881163",DF,Brasília,Riacho Fundo II               ,Riacho Fundo II,QN 14D Área Especial 1 ,LOTE 01
11,CRE - Taguatinga,104,CENTRO DE ENSINO FUNDAMENTAL 09 DE TAGUATINGA,pública,"72015597",DF,Brasília,Taguatinga                    ,Taguatinga Sul (Taguatinga),QSD Área Especial 1 ,Área Especial 02
4,CRE - Ceilândia,816,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA SEMPRE VIVA,pública,"72270300",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNQ 3 ,QNQ 03
16,CRE - Recanto das Emas,621,ESCOLA CLASSE 404 DO RECANTO DAS EMAS,pública,"72630409",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 404 Conjunto 9 ,Lt 01
11,CRE - Taguatinga,821,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÃNCIA MACAÚBA,pública,"71966700",DF,Brasília,Águas Claras                  ,Areal (Águas Claras),QS 7 ,QS 07 Rua 600
12,CRE - Samambaia,818,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA PICA-PAU BRANCO,pública,"72305600",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QR 307 ,QR 307
13,CRE - Paranoá,560,CENTRO EDUCACIONAL DO PAD/DF,pública,"71693994",DF,Brasília,,,Associação dos Produtores Rurais da Colônia Agrícola Aguilhada - Rodovia BR-251 - Km 69,BR 251 KM 07 - ESTRADA DE UNAÍ
13,CRE - Paranoá,457,CENTRO DE EDUCAÇÃO INFANTIL 01 DO PARANOÁ,pública,"71571610",DF,Brasília,Paranoá                       ,Paranoá,Quadra 16 Área Especial s/n ,CONJUNTO E LT 01
4,CRE - Ceilândia,826,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA CAPIM - DOURADO,pública,"72255000",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNO 10 ,QNO 10
13,CRE - Paranoá,461,ESCOLA CLASSE 04 DO PARANOÁ,pública,"71571408",DF,Brasília,Paranoá                       ,Paranoá,Quadra 14 Área Especial s/n ,CJ F AE 01
13,CRE - Paranoá,811,Centro de Ensino Fundamental 05 do Paranoá,pública,"71572501",DF,Brasília,Paranoá                       ,Paranoá,Quadra 25 Conjunto A ,"Lotes 3, 4, 18 e 19"
4,CRE - Ceilândia,817,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÃNCIA JASMIM,pública,"72255200",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNO 12 ,QNO 12
12,CRE - Samambaia,568,ESCOLA CLASSE 318 DE SAMAMBAIA,pública,"72308704",DF,Brasília,Samambaia                     ,Samambaia Sul (Samambaia),QN 318 Conjunto 4 ,Lote 01
13,CRE - Paranoá,771,CENTRO DE ENSINO FUNDAMENTAL 04 DO PARANOÁ,pública,"71570404",DF,Brasília,Paranoá                       ,Paranoá,Quadra 4 Conjunto D ,AE
7,CRE - Guará,640,CENTRO EDUCACIONAL 01 DA ESTRUTURAL,pública,"71255030",DF,Brasília,SCIA                          ,Setor Central (Vila Estrutural - Guará),Área Especial 3 ,Setor Central
13,CRE - Paranoá,416,Escola Classe Boqueirão,pública,"71573992",DF,Brasília,,,Núcleo Rural Boqueirão - Rodovia DF-001 km 15 Sede da Associação ao Lado da Escola Classe Boqueirão,PARANOA - FAZENDA SAO BENTO
5,CRE - Gama,52,CENTRO EDUCACIONAL GESNER TEIXEIRA,pública,"72491090",DF,Brasília,Gama                          ,Cidade Nova (Gama),Rua Dálias ,quadra 2/6
9,CRE - Planaltina,83,Centro de Ensino Fundamental 04 de Planaltina,pública,"73310100",DF,Brasília,Planaltina                    ,Setor Administrativo (Planaltina),Setor Administrativo ,Lotes C/D
9,CRE - Planaltina,79,CENTRO DE ENSINO FUNDAMENTAL JUSCELINO KUBITSCHEK,pública,"73403321",DF,Brasília,Planaltina                    ,Condomínio Mestre D'Armas (Planaltina),Módulo 7 ,LOTES DE 17 A 26
6,CRE - Brazlândia,851,Centro de Educação da Primeira Infância Flamboyant,pública,"72715610",DF,Brasília,Brazlândia                    ,Setor Sul (Brazlândia),Área Especial 1 ,Setor Sul
3,CRE - Plano Piloto e Cruzeiro,273,CENTRO DE ENSINO MÉDIO ELEFANTE BRANCO,pública,"70390080",DF,Brasília,Brasília                      ,Asa Sul,SGAS 908 ,MOD 25/26
9,CRE - Planaltina,823,CENTRO INTERESCOLAR DE LÍNGUAS 01 DE PLANALTINA,pública,"73350400",DF,Brasília,Planaltina                    ,Setor Residencial Leste (Planaltina),EQ 3/4 Bloco H ,quadras 3 e 4 Lote H
16,CRE - Recanto das Emas,825,CENTRO INTERESCOLAR DE LÍNGUAS 01 DO RECANTO DAS EMAS,pública,"72601214",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 106 Área Especial 1 ,AE
14,CRE - Santa Maria,820,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÃNCIA BURITI,pública,"72542500",DF,Brasília,Santa Maria                   ,Santa Maria,QR 312 ,QR 312
6,CRE - Brazlândia,197,CAIC Professor  Benedito Carlos de Oliveira,pública,"72720650",DF,Brasília,Brazlândia                    ,Setor Tradicional (Brazlândia),Área Especial 5 ,Setor tradicional
6,CRE - Brazlândia,822,Centro de Educação da Primeira Infância Aroeira,pública,"72725302",DF,Brasília,Brazlândia                    ,Veredas (Brazlândia),Quadra 3 Conjunto B ,PIQ 3 Lote 01 Setor Veredas
7,CRE - Guará,57,Centro de Ensino Fundamental 01 do Guará,pública,"71010616",DF,Brasília,Guará                         ,Guará I,QE 4 Área Especial J ,GUARA I
5,CRE - Gama,763,OBRAS ASSISTENCIAIS SÃO SEBASTIÃO - CRECHE NOSSA SRA DO CARMO,privada,"72450120",DF,Brasília,Gama                          ,Setor Leste (Gama),Quadra 12 ,Setor Leste
3,CRE - Plano Piloto e Cruzeiro,740,CASA DE ISMAEL - LAR DA CRIANÇA,privada,"70790140",DF,Brasília,Brasília                      ,Asa Norte,SGAN 914 ,z
5,CRE - Gama,473,ESCOLA CLASSE 06 DO GAMA,pública,"72425150",DF,Brasília,Gama                          ,Setor Oeste (Gama),EQ 09/19 ,Área Especial
12,CRE - Samambaia,571,CENTRO DE ENSINO FUNDAMENTAL 407 DE SAMAMBAIA,pública,"72321000",DF,Brasília,Samambaia                     ,Samambaia Norte (Samambaia),QR 407 ,AREA ESPECIAL 01
6,CRE - Brazlândia,614,Escola Classe 01 INCRA 08,pública,"72760180",DF,Brasília,Brazlândia                    ,Incra 8 (Brazlândia),Quadra 18 ,Lote 01
13,CRE - Paranoá,462,Escola Classe 05 do Paranoá,pública,"71572400",DF,Brasília,Paranoá                       ,Paranoá,Quadra 24 ,CJ I AE
9,CRE - Planaltina,544,ESCOLA CLASSE MONJOLO,pública,"73310150",DF,Brasília,Planaltina                    ,Setor de Educação (Planaltina),Setor Educacional ,BR-020 - DF-335 - FAZ MONJOLO
4,CRE - Ceilândia,380,CENTRO DE ENSINO MÉDIO 03 DE CEILÂNDIA,pública,"72215130",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),QNM 13 ,AE
12,CRE - Samambaia,827,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA SUCUPIRA,pública,"72320550",DF,Brasília,Samambaia                     ,Samambaia Norte (Samambaia),QS 412 ,A
12,CRE - Samambaia,316,ESCOLA CLASSE GUARIROBA,pública,"72322845",DF,Brasília,Samambaia                     ,Samambaia Norte (Samambaia),Núcleo Rural de Taguatinga ,km 05
8,CRE - Núcleo Bandeirante,729,"1 -  Irmã Elvira_Instituto Integridade Escola",privada,"71735169",DF,Brasília,ParkWay                       ,Setor de Mansões Park Way,Área Especial 3 ,TRECHO 3 AE 1/2
3,CRE - Plano Piloto e Cruzeiro,810,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA OLHOS D AGUA,pública,"70760550",DF,Brasília,Brasília                      ,Asa Norte,SCLRN 714 ,LT 01
9,CRE - Planaltina,808,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA JATOBÁ,pública,"73340710",DF,Brasília,Planaltina                    ,Vila Nossa Senhora de Fátima (Planaltina),Vila Nossa Senhora de Fátima ,conjunto 01
3,CRE - Plano Piloto e Cruzeiro,157,CENTRO DE ENSINO FUNDAMENTAL 405 SUL,pública,"70239000",DF,Brasília,Brasília                      ,Asa Sul,SQS 405 ,AE
15,CRE - São Sebastião,599,ESCOLA CLASSE SÃO BARTOLOMEU,pública,"71697035",DF,Brasília,São Sebastião                 ,São Bartolomeu (São Sebastião),Área Especial EC ,NUCLEO RURAL SÃO BARTOLOMEU KM 02 SÃO SEBASTIÃO
9,CRE - Planaltina,519,ESCOLA CLASSE 03 DE PLANALTINA,pública,"73350150",DF,Brasília,Planaltina                    ,Setor Residencial Leste (Planaltina),EQ 1/2 ,EP 02 Proj G
4,CRE - Ceilândia,23,CENTRO DE ENSINO FUNDAMENTAL 02 DE CEILÂNDIA,pública,"72215520",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),EQNM 1/3 (Comércio),AE
4,CRE - Ceilândia,38,CENTRO DE ENSINO FUNDAMENTAL PROFA. MARIA DO ROSÁRIO GONDIM,pública,"72225215",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNN 21 Conjunto E ,Área Especial
9,CRE - Planaltina,198,ESCOLA CLASSE 05 DE PLANALTINA,pública,"73320020",DF,Brasília,Planaltina                    ,Vila Vicentina (Planaltina),"Avenida do Contorno (Quadras 13,15,17 e 18)",Av Contorno Q 17 S/N Vila Vicentina
4,CRE - Ceilândia,33,CENTRO EDUCACIONAL 15 DE CEILÂNDIA,pública,"72260890",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNO 18 Conjunto B ,LOTE 01
16,CRE - Recanto das Emas,148,CENTRO DE ENSINO FUNDAMENTAL 405 DO RECANTO DAS EMAS,pública,"72631115",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 405 Conjunto 15 ,Lt 01 AE
16,CRE - Recanto das Emas,588,CENTRO DE EDUCAÇÃO INFANTIL 304 DO RECANTO DAS EMAS,pública,"72621114",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 304 Conjunto 14 ,A - AE 01
10,CRE - Sobradinho,426,ESCOLA CLASSE OLHOS D ÁGUA,pública,"71507993",DF,Brasília,,,"Olhos D'Água - DF- 003 km 7,5 (ao lado da Igreja)",RUA 1
6,CRE - Brazlândia,196,Centro Educacional 04 de Brazlândia,pública,"72738990",DF,Brasília,,,Vale do Curralinho - Rodovia BR-080 km 18 (Chácara 47),BR 080 Km 37 Núcleo Rural Curralinho
4,CRE - Ceilândia,34,CENTRO DE ENSINO FUNDAMENTAL 18 DE CEILÂNDIA,pública,"72231100",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),QNP 10 ,AE
6,CRE - Brazlândia,20,Centro de Ensino Fundamental Vendinha,pública,"72746000",DF,Brasília,Brazlândia                    ,Vila São José (Brazlândia),Quadra 46 ,EST. BSB/Pe. BERNARDO-BR 080 KM 25
12,CRE - Samambaia,587,CAIC HELENA REIS,pública,"72321100",DF,Brasília,Samambaia                     ,Samambaia Norte (Samambaia),QR 409 ,AREA ESPECIAL Nº 01
5,CRE - Gama,51,CENTRO EDUCACIONAL 07 DO GAMA,pública,"72405155",DF,Brasília,Gama                          ,Setor Central (Gama),EQ 15/17 ,praça 1 lote 3 
15,CRE - São Sebastião,629,CENTRO EDUCACIONAL SÃO BARTOLOMEU,pública,"71697045",DF,Brasília,São Sebastião                 ,São Bartolomeu (São Sebastião),Quadra 2 Conjunto 3 ,LOTE 04 AREA ESPECIAL SÃO BARTOLOMEU
6,CRE - Brazlândia,506,Escola  Classe Almécegas,pública,"72720650",DF,Brasília,Brazlândia                    ,Setor Tradicional (Brazlândia),Área Especial 5 ,BR 080 DF 206 KM 03 FAZENDA ALMECEGAS
5,CRE - Gama,44,Centro de Ensino Fundamental 04 do Gama,pública,"72460295",DF,Brasília,Gama                          ,Setor Leste (Gama),EQ 29/33 ,Praça 3 Área Especial 
5,CRE - Gama,764,CENTRO DE CONVIVÊNCIA EDUCACIONAL INFANTIL DIVINO ESPÍRITO SANTO,privada,"72425140",DF,Brasília,Gama                          ,Setor Oeste (Gama),Quadra 14 ,E/Q 14/18 Area Especial 
12,CRE - Samambaia,575,ESCOLA CLASSE 419 DE SAMAMBAIA,pública,"72325520",DF,Brasília,Samambaia                     ,Samambaia Norte (Samambaia),QS 419 ,AREA ESPECIAL Nº 01
7,CRE - Guará,235,ESCOLA CLASSE DO SRIA,pública,"71215000",DF,Brasília,SIA                           ,Zona Industrial (Guará),SIA Setor de Áreas Públicas ,AREA ESPECIAL
4,CRE - Ceilândia,372,ESCOLA CLASSE 55 DE CEILÂNDIA,pública,"72261200",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),QNO 20 ,AE 
11,CRE - Taguatinga,302,ESCOLA BILINGUE LIBRAS E PORTUGUÊS ESCRITO DE TAGUATINGA,pública,"72130530",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),QNH 3 ,QNH 1/3 - ÁREA ESPECIAL 02
4,CRE - Ceilândia,25,Centro de Ensino Fundamental 07 de Ceilândia,pública,"72215540",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),EQNM 5/7 ,AE
4,CRE - Ceilândia,350,Escola Classe 16 de Ceilândia,pública,"72250540",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),EQNO 4/6 ,Áarea Especial  Setor O
14,CRE - Santa Maria,191,CENTRO DE ENSINO FUNDAMENTAL SARGENTO LIMA,pública,"72587035",DF,Brasília,Santa Maria                   ,Área Alfa (Santa Maria),Conjunto S Quadra 6 ,area especial
11,CRE - Taguatinga,327,CENTRO EDUCACIONAL 06 DE TAGUATINGA,pública,"72150508",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),QNL 1 Área Especial 1 ,Setor L Norte
6,CRE - Brazlândia,19,Centro Educacional INCRA 08,pública,"72760040",DF,Brasília,Brazlândia                    ,Incra 8 (Brazlândia),Quadra 4 ,Lt. Setor norte Brazlândia
14,CRE - Santa Maria,131,CENTRO EDUCACIONAL 416 DE SANTA MARIA,pública,"72546330",DF,Brasília,Santa Maria                   ,Santa Maria,EQ 416/516 ,"lote A, Área Especial"
14,CRE - Santa Maria,337,CENTRO DE ENSINO MÉDIO 404 DE SANTA MARIA,pública,"72504241",DF,Brasília,Santa Maria                   ,Santa Maria,CL 404 Bloco A ,LOTE A
14,CRE - Santa Maria,128,CENTRO DE ENSINO FUNDAMENTAL 213 DE SANTA MARIA,pública,"72543227",DF,Brasília,Santa Maria                   ,Santa Maria,CL 213 Bloco G ,Lote 01
11,CRE - Taguatinga,308,ESCOLA CLASSE 42 DE TAGUATINGA,pública,"72145507",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),EQNM 34/36 Área Especial s/n ,Área Especial 01
14,CRE - Santa Maria,130,CENTRO DE ENSINO FUNDAMENTAL 403 DE SANTA MARIA,pública,"72503240",DF,Brasília,Santa Maria                   ,Santa Maria,CL 403 ,Lote 1-A
14,CRE - Santa Maria,663,CENTRO EDUCACIONAL 310 DE SANTA MARIA,pública,"72510238",DF,Brasília,Santa Maria                   ,Santa Maria,CL 310 Bloco H ,Santa Maria
3,CRE - Plano Piloto e Cruzeiro,1,CENTRO DE ENSINO FUNDAMENTAL POLIVALENTE,pública,"70390130",DF,Brasília,Brasília                      ,Asa Sul,SGAS 913 ,MOD 57/58
4,CRE - Ceilândia,35,CENTRO DE ENSINO FUNDAMENTAL 19 DE CEILÂNDIA,pública,"72220550",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),EQNN 18/20 ,AE - B GUARIROBA - CEILANDIA SUL
14,CRE - Santa Maria,611,CENTRO DE ENSINO FUNDAMENTAL 418 DE SANTA MARIA,pública,"72548700",DF,Brasília,Santa Maria                   ,Santa Maria,QR 418 ,EQ 418/518 LOTE 01 A/E
3,CRE - Plano Piloto e Cruzeiro,11,CENTRO DE ENSINO FUNDAMENTAL 01 DO LAGO NORTE,pública,"71510200",DF,Brasília,Lago Norte                    ,Setor de Habitações Individuais Norte,SHIN QI 4 ,AE
14,CRE - Santa Maria,336,CENTRO DE ENSINO FUNDAMENTAL 316 DE SANTA MARIA,pública,"72546231",DF,Brasília,Santa Maria                   ,Santa Maria,CL 316 Bloco A ,LOTE 1B
14,CRE - Santa Maria,824,CENTRO INTERESCOLAR DE LÍNGUAS 01 DE SANTA MARIA,pública,"72544204",DF,Brasília,Santa Maria                   ,Santa Maria,CL 114 Bloco D ,Área Especial
7,CRE - Guará,877,CENTRO DE EDUCAÇÃO PROFISSIONAL ARTICULADO DO GUARÁ PROFESSORA TERESA ONDINA MALTESE,pública,"71050175",DF,Brasília,Guará                         ,Guará II,EQ 17/19 ,LOTE A
6,CRE - Brazlândia,514,Centro de Ensino Médio 02 de Brazlândia,pública,"72736000",DF,Brasília,Brazlândia                    ,Vila São José (Brazlândia),Quadra 36 ,AE 03 
8,CRE - Núcleo Bandeirante,855,Centro Interescolar de Línguas 01 do Núcleo Bandeirante,pública,"71720592",DF,Brasília,Núcleo Bandeirante            ,Núcleo Bandeirante,Terceira Avenida Área Especial 4 ,"04"
3,CRE - Plano Piloto e Cruzeiro,866,Jardim de Infância 02 do Cruzeiro,pública,"70655860",DF,Brasília,Cruzeiro                      ,Cruzeiro Novo,SHCES Quadra 805 Área Especial s/n ,Lote 01 e 02
5,CRE - Gama,43,CENTRO EDUCACIONAL 08 DO GAMA,pública,"72415230",DF,Brasília,Gama                          ,Setor Sul (Gama),Praça 4 Bloco A ,Área Especial
10,CRE - Sobradinho,153,CENTRO DE ENSINO FUNDAMENTAL 08 DE SOBRADINHO,pública,"73060130",DF,Brasília,Sobradinho II                 ,Setor Oeste (Sobradinho II),AR 03 ,AR 03 LT 04 SETOR OESTE
13,CRE - Paranoá,856,Centro Interescolar de Línguas 01 do Paranoá,pública,"71571710",DF,Brasília,Paranoá                       ,Paranoá,Avenida Paranoá Bloco 9 ,"Quadra 17, Lote 1"
16,CRE - Recanto das Emas,150,Centro de Ensino Fundamental Granja das Oliveiras,pública,,,,,,,
8,CRE - Núcleo Bandeirante,444,Escola Classe Verde do Riacho Fundo I,pública,"71820211",DF,Brasília,Riacho Fundo I                ,Riacho Fundo I,QS 2 Área Especial A ,.
5,CRE - Gama,495,CENTRO EDUCACIONAL 06 DO GAMA,pública,"72450027",DF,Brasília,Gama                          ,Setor Leste (Gama),EQ 2/7 ,Area Especial
3,CRE - Plano Piloto e Cruzeiro,9,CENTRO DE ENSINO FUNDAMENTAL 04 DE BRASÍLIA,pública,"70376000",DF,Brasília,Brasília                      ,Asa Sul,SQS 113 ,AE
3,CRE - Plano Piloto e Cruzeiro,2,CENTRO DE ENSINO FUNDAMENTAL GAN,pública,"70830100",DF,Brasília,Brasília                      ,Asa Norte,SGAN 603 ,MÓDULO H
10,CRE - Sobradinho,90,CENTRO DE ENSINO FUNDAMENTAL 01 DE SOBRADINHO,pública,"73015321",DF,Brasília,Sobradinho                    ,Sobradinho,Quadra 2 Conjunto C-21 ,LOTE F
6,CRE - Brazlândia,17,Centro de Ensino Fundamental 01 de Brazlândia,pública,"72726125",DF,Brasília,Brazlândia                    ,Veredas (Brazlândia),PIQ 06 ,Piq 06 LT . 02
16,CRE - Recanto das Emas,591,CENTRO DE ENSINO FUNDAMENTAL 301 DO RECANTO DAS EMAS,pública,"72620200",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 301 ,AE
3,CRE - Plano Piloto e Cruzeiro,280,Centro de Educação de Jovens e Adultos Verde Oliva - CESVO  ,pública,,,,,,,
4,CRE - Ceilândia,352,ESCOLA CLASSE 18 DE CEILÂNDIA,pública,"72215530",DF,Brasília,Ceilândia                     ,Ceilândia Sul (Ceilândia),EQNM 3/5 ,AE
8,CRE - Núcleo Bandeirante,68,Centro de Ensino Fundamental Metropolitana,pública,"71730110",DF,Brasília,Núcleo Bandeirante            ,Metropolitana (Núcleo Bandeirante),Rua 1 ,Lote 06 Praça Metropolitana
8,CRE - Núcleo Bandeirante,73,Centro Educacional Vargem Bonita,pública,"71750000",DF,Brasília,Núcleo Bandeirante            ,Núcleo Rural Vargem Bonita (Núcleo Bandeirante),Núcleo Rural Vargem Bonita ,.
8,CRE - Núcleo Bandeirante,67,Centro de Ensino Médio 01 do Riacho Fundo I,pública,"71825400",DF,Brasília,Riacho Fundo I                ,Riacho Fundo I,QS 14 ,Lote A
3,CRE - Plano Piloto e Cruzeiro,4,CENTRO DE ENSINO FUNDAMENTAL ATHOS BULCÃO,pública,"70650390",DF,Brasília,Cruzeiro                      ,Cruzeiro Novo,SHCES Quadra 309 ,Lote 01
15,CRE - São Sebastião,869,Centro de Educação Infantil 04 de São Sebastião,pública,"71692607",DF,Brasília,São Sebastião                 ,Setor Residencial Oeste (São Sebastião),Quadra 203 Conjunto 3 ,Lote 06 / 15
3,CRE - Plano Piloto e Cruzeiro,239,ESCOLA CLASSE 05 DO CRUZEIRO,pública,"70650210",DF,Brasília,Cruzeiro                      ,Cruzeiro Novo,SHCES Quadra 201 ,LOTE 01
9,CRE - Planaltina,537,Escola Classe da Lagoinha,pública,,,,,,,
9,CRE - Planaltina,543,Escola Classe Major Cosme de Farias,pública,,,,,,,
9,CRE - Planaltina,552,Escola Classe Retiro do Meio,pública,,,,,,,
6,CRE - Brazlândia,615,Centro de Ensino Fundamental 03 de Brazlândia,pública,"72746000",DF,Brasília,Brazlândia                    ,Vila São José (Brazlândia),Quadra 46 ,area especial nº1
3,CRE - Plano Piloto e Cruzeiro,259,ESCOLA CLASSE 204 SUL,pública,"70234000",DF,Brasília,Brasília                      ,Asa Sul,SQS 204 ,AE
11,CRE - Taguatinga,165,CENTRO DE ENSINO FUNDAMENTAL 19 DE TAGUATINGA,pública,"72155525",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),EQNL 10/12 Área Especial s/n ,Setor L Norte
11,CRE - Taguatinga,867,Centro de Educação infantil 07 de Taguatinga,pública,"72020320",DF,Brasília,Taguatinga                    ,Taguatinga Sul (Taguatinga),QSD 32 ,AREA ESPECIAL
3,CRE - Plano Piloto e Cruzeiro,242,ESCOLA CLASSE 08 DO CRUZEIRO,pública,"70660060",DF,Brasília,Sudoeste/Octogonal            ,Área Octogonal,AOS 6 ,LOTE 03
8,CRE - Núcleo Bandeirante,446,Centro de Ensino Fundamental 01 do Riacho Fundo II,pública,"71880047",DF,Brasília,Riacho Fundo II               ,Riacho Fundo II,QN 7D Área Especial 1 ,.
7,CRE - Guará,868,Centro de Ensino Fundamental 03 da Estrutural,pública,"71200029",DF,Brasília,SIA                           ,Zona Industrial (Guará),Trecho SIA Trecho 2 - de 1505 ao fim - lado ímpar,LT 1815 A 1825
3,CRE - Plano Piloto e Cruzeiro,251,ESCOLA CLASSE 407 NORTE,pública,"70855000",DF,Brasília,Brasília                      ,Asa Norte,SQN 407 ,AE
3,CRE - Plano Piloto e Cruzeiro,158,ESCOLA CLASSE 413 SUL,pública,"70296110",DF,Brasília,Brasília                      ,Asa Sul,SQS 413 Bloco K ,AE
9,CRE - Planaltina,78,ESCOLA CLASSE MESTRE D ARMAS,pública,"73370002",DF,Brasília,Planaltina                    ,Vale do Amanhecer (Planaltina),Conjunto Residencial 2 ,LOTE 01 - ÁREA ESPECIAL
9,CRE - Planaltina,545,Centro Educacional Stella dos Cherubins Guimarães Trois,pública,"73330033",DF,Brasília,Planaltina                    ,Setor Tradicional (Planaltina),"Avenida Hugo Lobo (Quadras 82,83,90,91,96,97)",Qd 97 - Área Especial s/n Setor Sul 
5,CRE - Gama,193,CENTRO EDUCACIONAL ENGENHO DAS LAJES,pública,"72492120",DF,Brasília,Gama                          ,Engenho das Lages (Gama),Rua Hilário Ribeiro ,Engenho das lages BR 060 KM 30 Rodovia BSB/GO
4,CRE - Ceilândia,28,CENTRO DE ENSINO FUNDAMENTAL 12 DE CEILÂNDIA,pública,"72250530",DF,Brasília,Ceilândia                     ,Ceilândia Norte (Ceilândia),EQNO 2/4 ,AE
15,CRE - São Sebastião,652,CENTRO DE ENSINO FUNDAMENTAL MIGUEL ARCANJO,pública,"71697000",DF,Brasília,São Sebastião                 ,São Bartolomeu (São Sebastião),Quadra 1 ,area especial 03
9,CRE - Planaltina,655,CENTRO EDUCACIONAL DONA AMÉRICA GUIMARÃES,pública,"73368854",DF,Brasília,Planaltina                    ,Arapoanga (Planaltina),Quadra 10K Conjunto C ,Àrea Especial
5,CRE - Gama,493,Centro de Ensino Médio 02 do Gama,pública,"72405360",DF,Brasília,Gama                          ,Setor Central (Gama),Quadra 36 ,EQ 27/36 area especial lado oeste
5,CRE - Gama,494,Centro de Ensino Médio 03 do Gama,pública,"72410318",DF,Brasília,Gama                          ,Setor Sul (Gama),EQ 5/11 Área Especial CEF 15 (Áreas Especiais),AE Setor Sul 
6,CRE - Brazlândia,510,Escola Classe INCRA 07,pública,"72773010",DF,Brasília,Brazlândia                    ,Brazlândia,Incra 7 ,RESERVA G GLEBA 03 LOTE 82
10,CRE - Sobradinho,407,ESCOLA CLASSE 01 DE SOBRADINHO,pública,"73025060",DF,Brasília,Sobradinho                    ,Sobradinho,Quadra 6 ,RUA 05 AE 1
16,CRE - Recanto das Emas,610,CENTRO DE ENSINO FUNDAMENTAL 602 DO RECANTO DAS EMAS,pública,"72640201",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 602 Conjunto 1 ,Lt 01
3,CRE - Plano Piloto e Cruzeiro,261,ESCOLA CLASSE 209 SUL,pública,"70272000",DF,Brasília,Brasília                      ,Asa Sul,SQS 209 ,AE
3,CRE - Plano Piloto e Cruzeiro,247,ESCOLA CLASSE 304 NORTE,pública,"70736000",DF,Brasília,Brasília                      ,Asa Norte,SQN 304 ,ÁREA ESPECIAL
3,CRE - Plano Piloto e Cruzeiro,237,ESCOLA CLASSE VARJÃO,pública,"71540400",DF,Brasília,Lago Norte                    ,Setor de Habitações Individuais Norte,Vila Varjão do Torto ,QUADRA 07 CONJUNTO D LOTE 02 AREA ESPECIAL
11,CRE - Taguatinga,875,CENTRO EDUCACIONAL DE INTELIGÊNCIA,privada,"72130603",DF,Brasília,Taguatinga                    ,Taguatinga Norte (Taguatinga),QNH Área Especial 3 ,"ARMAZÉM 4,5,6 E 7,TÉRREO"
16,CRE - Recanto das Emas,870,CENTRO DE EDUCAÇÃO DA PRIMEIRA INFÂNCIA PINHEIRINHO ROXO,pública,"72620117",DF,Brasília,Recanto das Emas              ,Recanto das Emas,Quadra 300 Conjunto 17 ,Lote 1
